type,dateCreated,username,givenName,description,location,id,follows,friends,tweets
ProfilePage,2018-08-01T14:43:33.000Z,Daro38809821,Lubín,un poeta sin versos,,1024666952751570944,58,414,828
ProfilePage,2009-09-10T07:51:32.000Z,ffdlxnn,𝕴𝖗𝖋𝖆𝖓 𝖋𝖆𝖉𝖑𝖆𝖓,sad & lonely,,73068817,817,259,25784
ProfilePage,2016-05-12T12:18:00.000Z,XnW5mAdidas,塚本章太郎　JaśTHIN【ジャス】📸🔯,東京学館R2.3.1卒 元陸上部 社会人 age21・・・・ #GinaLückenkemper #山本KID徳郁 #オレンジの悪魔 #あちゃっぷのケチャ隊 #古川葵 #咲かせる咲かせたい,茨城⇔千葉,730733764968484866,685,1031,12218
ProfilePage,2015-03-26T01:53:10.000Z,SneakerAccess1,Sneaker Access,The fastest Sneaker Release & Restock alerts - turn on push notifications! Tweets might contain affiliate links.,,3107930838,75667,1,23453
ProfilePage,2015-03-26T01:53:10.000Z,SneakerAccess1,Sneaker Access,The fastest Sneaker Release & Restock alerts - turn on push notifications! Tweets might contain affiliate links.,,3107930838,75667,1,23453
ProfilePage,2011-07-16T00:40:41.000Z,KyleGRisinger,ADIDAS TRACK SUITS WIT NIKES,The intro’s too long. You ain’t Ghost and Rae,Chicago,336261458,107,963,2316
ProfilePage,2012-07-31T00:10:32.000Z,80vivian,Vivian Martinez,ItsALL4Luv.  ……………………….  CASHAPP $Vivian0480,,727142815,212,325,2899
ProfilePage,2020-08-18T08:12:41.000Z,besiktaslisef,Refo Şef,Benim Yorumum Hepimizi Bağlar.,,1295634669128560640,427,379,2240
ProfilePage,2013-11-12T04:38:16.000Z,279Erizo,Daniel Becerra,"Con la U hasta en la sopa!!
vamos todavía!",,2189611982,45,310,2600
ProfilePage,2020-08-09T03:56:44.000Z,America__1916,BETTER CALL ME DADDY,NAshe,,1292308756626276352,72,1825,5475
ProfilePage,2022-12-25T02:39:44.000Z,TraeYoung4pf,John Buckley,,"Västerås, Sverige",1606842075785449476,117,90,341
ProfilePage,2022-12-25T02:39:44.000Z,TraeYoung4pf,John Buckley,,"Västerås, Sverige",1606842075785449476,117,90,341
ProfilePage,2020-01-27T08:25:40.000Z,mauropants3,マウロパンツお兄さん,昨季公式戦全43試合現地参戦達成 ｜遠征の魅力を伝えるYouTube活動をしています@alb_mpo3ch｜旅するVlogger,今季現地3戦1勝2分0敗 NEXT→3.8 福岡,1221710801129459712,2807,981,11423
ProfilePage,2020-01-27T08:25:40.000Z,mauropants3,マウロパンツお兄さん,昨季公式戦全43試合現地参戦達成 ｜遠征の魅力を伝えるYouTube活動をしています@alb_mpo3ch｜旅するVlogger,今季現地3戦1勝2分0敗 NEXT→3.8 福岡,1221710801129459712,2807,981,11423
ProfilePage,2015-07-02T16:47:29.000Z,Ibrah_Adidas,🇨🇮 L’IVOIRO-MADRILÈNE 🏳️,Juriste de formation| Militant des droits des enfants et des droits des apatrides| Ex pensionnaire de l'UDDH_CNDH-CI |Hala Madrid 14 𝗨𝗖𝗟🏆35 𝗟𝗜𝗚𝗔,"La Plaza de Cibeles, Madrid",3355292967,218,251,6466
ProfilePage,2015-07-02T16:47:29.000Z,Ibrah_Adidas,🇨🇮 L’IVOIRO-MADRILÈNE 🏳️,Juriste de formation| Militant des droits des enfants et des droits des apatrides| Ex pensionnaire de l'UDDH_CNDH-CI |Hala Madrid 14 𝗨𝗖𝗟🏆35 𝗟𝗜𝗚𝗔,"La Plaza de Cibeles, Madrid",3355292967,218,251,6466
ProfilePage,2013-09-28T07:43:32.000Z,adidas_is_best,♡ADIDAS♡,,,1913446422,287,91,72290
ProfilePage,2018-04-25T19:12:55.000Z,bigodeus,giulia 🦎,neste perfil tem muito palmeiras esporte e umas merdas,,989220730972835841,3266,840,73115
ProfilePage,2021-12-29T11:58:42.000Z,Predatorr68,e.de,,,1476160696484302861,1,136,224
ProfilePage,2012-01-01T09:46:38.000Z,ggdaizawa,代沢,"メンズファッションコーデ
Britt PR ブログ
http://t.co/4Zwqxr5pud",,452025475,594,310,193342
ProfilePage,2012-01-01T09:46:38.000Z,ggdaizawa,代沢,"メンズファッションコーデ
Britt PR ブログ
http://t.co/4Zwqxr5pud",,452025475,594,310,193342
ProfilePage,2022-10-25T12:47:48.000Z,76_adidas,Adidas 76,,,1584889351858692097,0,113,4
ProfilePage,2022-08-25T05:04:03.000Z,shirin30070335,Shirin ( Game-Changer) High priestess👸✝️,"Christian.Non conformist person. water-bearer ,widow, mother of 2 boys 👩‍👦‍👦 and only child of a wonderful woman. My life is the best sermon im preaching.🙏","Yongin-si, Republic of Korea",1562667021422456833,179,155,12631
ProfilePage,2022-06-05T02:34:50.000Z,G7LLAGHER,efe kaygisiz,ergun plak defender,"Chicago, IL",1533276097034473473,135,144,2251
ProfilePage,2022-03-04T13:16:18.000Z,ShoppingAlertIT,Shopping Alert 🇮🇹,"Acquisti online per elettronica, abbigliamento e altro.
@amazon @AmazonIT
as an Amazon Associate I earn from qualifying purchases",🇮🇹,1499735136434520064,144,136,222048
ProfilePage,2023-01-23T21:31:52.000Z,LufcAdidas,Lufc adidas,,"Scarborough, England",1617636225539530752,37,353,84
ProfilePage,2011-07-06T04:07:25.000Z,AdidasKing5,Uncle JB,D1-University Podcast Host. Friendly Neighborhood Producer of Audio.Clear Eyes Full Hearts Cant Lose. DreamPrairie #NABJ 🐋,City of Dreams,330123155,1594,1297,96465
ProfilePage,2015-05-26T13:43:04.000Z,tuun_T_adidas,つん子@14㌢のヒール,Pair⇛(@haru__baru22):ヘッダー⇛(@Nijhonta):🐈キヨ(@kiyo_saiore) :GAME⇛👾モンスト(ランク600↑) :🦖MHW:I (HR300↑ MR300↑):MHR(⚔HR600↑MR200↑):🔫Apex:👼原神:🐭ツイステ:👧🏻主20↑,スペイン(奈良),3227154032,246,234,14216
ProfilePage,2021-01-24T19:15:07.000Z,CorleoneTheOne,Corleone,World’s best Tweeting sloth.,,1353420732068335619,24,322,1747
ProfilePage,2014-06-13T17:37:53.000Z,MarinaL1411,Marina L.,"No dia mais claro, na noite mais tensa.
Ela/Dela",,2565649104,150,90,27158
ProfilePage,2011-06-13T14:25:11.000Z,lvpGui,Guilherme ✠,"@LFC @vascodagama @packers

I'm trying my best","Muriaé, Brasil",316479585,543,500,61638
ProfilePage,2013-02-17T02:05:00.000Z,CloudAtlas_47,🗽FL Empire 🇺🇸🇺🇸🇺🇸,Tech. Industries. News. Trends. Markets. Stocks. #BecauseFlorida Lex Luthor owns @Twitter,,1188054740,1131,5002,205714
ProfilePage,2010-04-25T17:08:15.000Z,felixquilarke,フェリックス,,on therapy rn,137054243,972,556,59754
ProfilePage,2021-12-02T13:41:06.000Z,pehr_silver,Pehr Silver,En fiktiv skeppsredare som har en obesvarad kärlek till en fiktiv finlandsfärja vid namn Freja. (Att tala är Silver men att tiga är bly),,1466402006751453189,192,339,2918
ProfilePage,2022-05-27T07:19:03.000Z,uminonyuseihin,海野乳製品😈KICK BACK,三十路過ぎて歌い出した二児の父です。 柄悪い系、イヤホンマイク勢。 基本🎤月一くらい。無言フォローしてええよ別に🌚,近畿のあの辺,1530086107425423360,128,151,2837
ProfilePage,2023-02-01T21:27:29.000Z,gillesdeloser,Gilles,,"Tacoma, WA",1620896491056533504,15,116,292
ProfilePage,2011-12-02T09:36:47.000Z,tobesoInely,grace 🌻,"live, laugh, loathe",nz | a human ,426498626,1467,299,70760
ProfilePage,2017-04-02T22:12:40.000Z,nathanschutzius,Nathan Schutzius,,"Frankfort, IL",848659472851533825,1,71,2
ProfilePage,2012-03-28T23:22:16.000Z,crisexeflores,Cristhian ⭐⭐⭐,Extraño esa fascinación.,Barilochense en Buenos Aires,539474407,2814,1748,108302
ProfilePage,2020-04-08T15:13:28.000Z,M49285298,🎶,アズカリも新しく対応しますのでDMお待ちしてます❤️,,1247905307281387527,3,8,2442
ProfilePage,2022-07-19T04:22:04.000Z,ADIDAS_LOV_U,UKiTTY,,TOKYO⇔CHIBA,1549248156512432129,26,27,308
ProfilePage,2010-07-23T01:40:02.000Z,r0bert0rf,Robert,"Lic. Informatica, VoIP. Seguidor de #LuchaLibreMexicana, colaborador de @planeta_wrest y @3erayDefinitiva .Me gusta bailar, masoquista #CruzAzul y #MiamiDolphin",Mexico,169736243,843,1274,42364
ProfilePage,2021-12-20T23:50:30.000Z,supplykickss,Supplykicks,🔎 The ultimate way to cop your sneakers for retail prices ! 🇫🇷🇪🇺  ( Links can be affiliated ),"Paris, France | Europe ",1473078338830929922,222,0,24327
ProfilePage,2021-12-20T23:50:30.000Z,supplykickss,Supplykicks,🔎 The ultimate way to cop your sneakers for retail prices ! 🇫🇷🇪🇺  ( Links can be affiliated ),"Paris, France | Europe ",1473078338830929922,222,0,24327
ProfilePage,2022-11-27T02:37:49.000Z,s4ntosssx,fëlipeˢᶜᶜᵖ 🎭🥷🏿,what a wonderful world | @Corinthians,"Goiânia, Brasil",1596694696864190469,50,182,2626
ProfilePage,2022-11-27T13:17:38.000Z,cringe6161,nisi,glücklich,,1596855709131571200,177,148,3856
ProfilePage,2013-06-19T20:03:53.000Z,InfoLecturas,InfoLecturas,Aquí presentamos una selección de los mejores contenidos informativos de Grandes Medios.,World Wide Web,1531880323,106140,43877,2039810
ProfilePage,2017-11-30T19:28:28.000Z,Adidas_F6,ghost 01 👨🏾‍💻,"Eu não busco, eu atraio! O que me pertence vai me encontrar, sempre.
@Corinthians",011x013,936316012592582657,348,297,16285
ProfilePage,2012-11-05T02:14:58.000Z,ChampagneHulk,asere,"inlove with ma cuban girl❤.                                  
Bayern",,926650808,596,446,47153
ProfilePage,2013-11-09T03:34:12.000Z,varriagada_c,Verónica Arriagada,,,2183507467,1,28,10
ProfilePage,2014-04-22T13:55:27.000Z,Sneaks4sure,S4S - Sneakers Restock 💯 FREE Service !,🔎 1st Ultimate Sneakers Finder 🤑👟 Compare +40k products price over 200 Shops | 🗓️ Calendar / 🔗 Links,🇪🇺 🇺🇸 🇨🇦 🇯🇵 🇨🇳 🇦🇺,2458204951,13986,1091,129313
ProfilePage,2014-04-22T13:55:27.000Z,Sneaks4sure,S4S - Sneakers Restock 💯 FREE Service !,🔎 1st Ultimate Sneakers Finder 🤑👟 Compare +40k products price over 200 Shops | 🗓️ Calendar / 🔗 Links,🇪🇺 🇺🇸 🇨🇦 🇯🇵 🇨🇳 🇦🇺,2458204951,13986,1091,129313
ProfilePage,2020-03-03T16:07:37.000Z,Diego84135390,Diego.,Saí pra um rolê com a morte e ela se entristeceu.,,1234873029538258944,169,371,5813
ProfilePage,2019-04-23T22:43:01.000Z,G24Jamaal,JamaalG24,I can do anything thru him 🙌🏾. #NikeKing #24Beastmode #JustDoIt #Libra #Alwaysmotivated,"Chicago, IL",1120820396222222336,199,313,9708
ProfilePage,2017-08-18T19:27:02.000Z,awfcdreamer,d ⎊,Arsenal. Angel City. #Saints #BleedGreen,HI | She/Her 🏳️‍🌈,898627316997267456,2678,435,75455
ProfilePage,2018-07-05T22:34:29.000Z,ShyneInk,ShyneInk✨,Owner/tattoo artist at Off The Paper Tattoo Studio 💉|Booking fee required 💵| Scar corrections and coverups🩹 | sneaker connoisseur👟|🏳️‍🌈| ♉️| IG:_shyneink_,"Charlotte, NC",1015000995133362176,817,163,5629
ProfilePage,2022-12-08T00:54:55.000Z,pkdelas23,o finado @matsbats23,"eu era o matsbats23 até que decidi xingar o Kai Havertz.

comentários sobre futebol, hóquei, beisebol e muito mais ou menos.

Deus, Dona Edilene, Johan Cruyff","Recife, Brazil",1600655006084071424,133,329,6081
ProfilePage,2010-11-28T05:05:17.000Z,belupinino,Belula!,"Mama de Lola 💚
Tripera 🐺
Me gusta BAILAR💃
Argentina ✌",,220569898,564,878,32976
ProfilePage,2022-02-05T23:36:31.000Z,jaegerristt,uh,,"London, England",1490107046196359168,2,12,77
ProfilePage,2022-11-04T19:09:27.000Z,hillgroom,patrick,,"São Paulo, Brasil",1588609341820633090,97,110,1064
ProfilePage,2014-12-28T02:50:35.000Z,highrooo,JC,".......just ask keep it short and simple. entrepreneur,tattoo artist @JC_Inkz",From Pg side to Moco,2945192801,182,248,5243
ProfilePage,2008-07-18T02:17:53.000Z,ugoraba,ゴウタロウ✈福岡空陸マイランナー,ポイントやマイルの貯め方、活用法を探求中。ブログ「ゆる医師のマイルと旅ラン生活(https://t.co/5zbszAyM73)」を運営。 ANAプラチナSFC・平JGC(2022)。マイルやホテル、クレカのポイントを活用してマイル修行や家族旅行を試行錯誤。ダイヤモンドになれないドクター。福岡県【北九州市】ランニングダイエッター,日本 福岡県北九州市,15477205,4064,784,42020
ProfilePage,2010-06-24T02:13:23.000Z,_manubrixner,Emanuele Brixner,26 • Medicina Veterinária • Sarandi/RS,,158946563,254,368,2867
ProfilePage,2021-08-24T23:28:36.000Z,leozerenn,hadolf itler🇦🇷kartalist ve emir sevgisi,"∆hayatım bir sakadır∆ @chelseafc  yönetim kurulu üyesi 
 @cigkofteasigi1i  vekili  //futboldan anlamam Messi över geçerim", camp nou,1430310994891390976,1320,1148,41079
ProfilePage,2010-03-19T12:26:18.000Z,Fuyohboy,Kopukylas Kirupakaran,🏴󠁧󠁢󠁥󠁮󠁧󠁿Passionate Photographer. Let’s get connected.,"London, England",124446006,4150,1507,82653
ProfilePage,2015-12-22T03:32:18.000Z,ZonaMediatica,Zona Mediática,Nos encargamos de compartir buena información.,World Wide Web,4563711274,56990,43382,1889373
ProfilePage,2014-08-21T23:38:54.000Z,Zellsis,Jordan Montemurro,Valorant @Cloud9 @C9VAL | https://t.co/qMlsJmUU53 | @yukiaim 🇯🇵 | Business: enq@ocelotsports.com,,2753391127,186403,828,14122
ProfilePage,2014-08-21T23:38:54.000Z,Zellsis,Jordan Montemurro,Valorant @Cloud9 @C9VAL | https://t.co/qMlsJmUU53 | @yukiaim 🇯🇵 | Business: enq@ocelotsports.com,,2753391127,186403,828,14122
ProfilePage,2022-08-15T11:50:22.000Z,adhidasaar,Adidas Saar,naaku cinemalu ishtam,south india,1559145389273452547,4,46,1119
ProfilePage,2022-03-24T04:29:29.000Z,jaemzine,naia,제노와 재민의 사랑의 아이🐶🫶🏻🐰🐱,S/her 20,1506850621604786179,334,276,14720
ProfilePage,2022-10-28T03:26:31.000Z,TheFloorIsYoko,✈︎ Adidas |• 🇧🇷🇮🇹🏳️‍🌈☭,"ᵖᵃᵗʳⁱᵃ ᵒ ᵐᵘᵉʳᵗᵉ/ ¡ᴀssɪsᴛᴀᴍ “ᴏᴅᴅʙᴀʟʟs”! //
“𝒀𝒐𝒖 𝒎𝒂𝒚 𝒔𝒂𝒚 𝑰’𝒎 𝒂 𝒅𝒓𝒆𝒂𝒎𝒆𝒓, 𝒃𝒖𝒕 𝑰’𝒎 𝒏𝒐𝒕 𝒕𝒉𝒆 𝒐𝒏𝒍𝒚 𝒐𝒏𝒆... ♡︎”-𝑱𝒐𝒉𝒏 𝑳𝒆𝒏𝒏𝒐𝒏",➪ ᵇᵃᶜᵏ 𝑰𝒏 𝑻𝒉𝒆 𝑼.𝑺.𝑺.𝑹,1585835200650657795,1373,5000,3091
ProfilePage,2013-08-14T16:51:16.000Z,hensbk7,🇾🇪🥋🎈,Desde 95 metendo o louco @SaoPauloFC 🇾🇪/ @ManCityPT Dono do perfil - @ervinhadejah,JF,1670982799,2775,1527,137059
ProfilePage,2020-05-15T13:24:19.000Z,distillerchic92,Distillerchic92,,"Los Angeles, CA",1261286233243697158,45,125,8428
ProfilePage,2021-08-14T14:33:12.000Z,BobAxelrod6,𝔾𝕠𝕠𝕟𝕖𝕣,"Gooner,Trance Aficionado,FootballEnthusiast #F1Is♥️ #PositionalTrader #BreakoutTrader #PositionalInvestor #Trendfollower",,1426552411812990976,518,2260,13641
ProfilePage,2014-09-04T01:35:13.000Z,adidasKiLlA,LiltokenXO,,,2788905396,251,3468,39629
ProfilePage,2022-03-04T13:16:18.000Z,ShoppingAlertIT,Shopping Alert 🇮🇹,"Acquisti online per elettronica, abbigliamento e altro.
@amazon @AmazonIT
as an Amazon Associate I earn from qualifying purchases",🇮🇹,1499735136434520064,144,136,222048
ProfilePage,2022-03-04T13:16:18.000Z,ShoppingAlertIT,Shopping Alert 🇮🇹,"Acquisti online per elettronica, abbigliamento e altro.
@amazon @AmazonIT
as an Amazon Associate I earn from qualifying purchases",🇮🇹,1499735136434520064,144,136,222048
ProfilePage,2011-06-28T17:16:25.000Z,Adidas_Purp,Pretty $hy❤,#NCATAlumna #DouéMovement IG:douefashion & Snapchat:Smonaaay,"Fayetteville, NC",325658446,1244,1199,51490
ProfilePage,2021-05-17T07:24:10.000Z,makash_mak,Makash_Mak .eth #RGNFT,Save the Metaverse with @RaccoonGin ♥️  Success is just one sip away from a magical concoction. | Adults only. Enjoy responsibly. Do not share with minors.,From Web 3.0 to IRL👉 DE & PL,1394191891198091264,839,1721,1746
ProfilePage,2021-05-17T07:24:10.000Z,makash_mak,Makash_Mak .eth #RGNFT,Save the Metaverse with @RaccoonGin ♥️  Success is just one sip away from a magical concoction. | Adults only. Enjoy responsibly. Do not share with minors.,From Web 3.0 to IRL👉 DE & PL,1394191891198091264,839,1721,1746
ProfilePage,2020-02-19T02:16:22.000Z,Mathenriquers,Matheus 🇾🇪,"I don't want buxixo,I just want money","Guarulhos, Brasil",1229952808197271552,1558,2473,37072
ProfilePage,2011-07-29T21:56:30.000Z,DavidJHeaton,David James Heaton™,"I want your clothes, your boots & your motorcycle 😎
🏴‍☠️
🚗
🕺
🗺
👪🐾Harriet/Big Phill(RIP)/Doris (adopted bulldog) and now R the baby.
#baller","North West, England. ",344980678,345,604,13760
ProfilePage,2015-10-02T21:27:03.000Z,adidasalerts,adidas alerts,"adidas Releases, Restocks, and News by @712LINKS • tweets contain affiliate links","Herzogenaurach, Germany",3846419537,283034,7,51926
